Name,Redshift,[CII] e-17W/m^2,E[CII],F100_Jy,E100_Jy,F160_Jy,E160_Jy,F157_Jy,E157_Jy,F63_Jy,E63_Jy,F145_Jy,E145_Jy,F52_Jy,E52_Jy,F57_Jy,E57_Jy,F122_Jy,E122_Jy,F79_Jy,E79_Jy,F250_Jy,E250_Jy,F350_Jy,E350_Jy,F500_Jy,E500_Jy,F60_Jy,E60_Jy,F100_Jy,E100_Jy,F850_Jy,E850_Jy,F450_Jy,E450_Jy,F25_Jy,E25_Jy,F120_Jy,E120_Jy,F150_Jy,E150_Jy,F180_Jy,E180_Jy,F200_Jy,E200_Jy,F158_Jy,E158_Jy,F170_Jy,E170_Jy,F63_H_Jy,E63_H_Jy,F88_Jy,E88_Jy,F1300_Jy,E1300_Jy,F2000_Jy,E2000_Jy,Pred870
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS10378+1109,0.1362,3.53,0.2,,,,,0.68,0.16,2.25,0.5,1.31,0.14,1.93,0.45,2.04,0.38,1.43,0.05,2.33,0.33,0.4804,0.0038,0.1829,0.0039,0.0501,0.0047,2.281,0.137,1.816,0.163,0.0044,0.0011,,,0.235,0.059,,,,,,,,,,,,,,,,,,,,,0.005511
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS10565+2448,0.043,59.8,1.9,16.00934149,0.881853627,10.55645852,0.523277021,10.42,0.1,12.11,0.06,8.4,1,,,,,9.3,0.7,,,3.6188,0.0108,1.3189,0.0043,0.4069,0.0049,12.1,0.025,15.01,0.122,0.056,0.01,0.533,0.112,1.27,0.031,,,,,,,,,10.1,1.6,11.5,1.3,14,1.5,23.2,2.2,,,,,0.044759
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS11095-0238,0.1066,7.51,1.18,,,,,0.84,0.24,2.9,0.72,1.16,0.2,2.91,0.51,3,0.44,1.38,0.08,3,0.33,0.3803,0.0036,0.1185,0.0038,0.0361,0.0053,3.249,0.162,2.531,0.253,,,,,0.418,0.063,,,,,,,,,,,,,,,,,,,,,0.003971
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS12071-0444,0.1284,6.48,0.9,,,,,0.85,0.14,2.36,0.48,1.29,0.17,2.32,0.44,2.3,0.36,1.52,0.05,2.64,0.26,0.4707,0.0038,0.1634,0.0039,0.0443,0.0046,2.463,0.148,2.473,0.247,,,,,0.537,0.059,,,,,,,,,2.4,1.6,,,,,,,,,,,0.004873
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS13120-5453,0.03076,129.1,2.7,55.03202911,3.040440368,34.87991071,1.728031074,31.62,0.1,42.24,0.11,,,,,,,,,,,12.0971,0.036,4.4409,0.0104,1.3548,0.0055,41.11,0.066,52.33,0.2,,,,,2.98,0.021,,,,,,,,,,,30.52,4.58,,,,,,,,,0.149028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS13451+1232,0.1217,4.48,0.21,2.051962679,0.114034867,1.298594898,0.065358263,1.06,0.24,2.31,0.5,1.13,0.18,1.8,0.44,1.92,0.38,1.34,0.06,2.13,0.32,0.5034,0.0049,0.2561,0.0043,0.1971,0.0055,2.098,0.315,2.06,0.185,0.105,0.011,,,0.667,0.0667,,,,,,,,,,,,,,,,,,,,,0.021681
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS14348-1447,0.0827,26.1,1.4,8.432195381,0.329354902,5.336104966,0.37443678,4.01,0.05,6.68,0.06,,,,,,,,,,,1.8421,0.0058,0.6655,0.0049,0.1973,0.0058,6.46,0.038,7.31,0.131,0.024,0.0072,0.21,0.063,0.56,0.083,6.66,2,5.61,1.68,3.76,1.13,2.69,0.81,,,,,,,,,,,,,0.021703
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS14378-3651,0.0676,11.8,0.5,6.568,0.2556,3.9095,0.1381,2.93,0.03,6.45,0.05,,,,,,,,,,,1.3304,0.005,0.4779,0.0047,0.1352,0.0058,6.72,0.042,8.08,0.215,,,,,0.67,0.038,5.9,1.78,3.6,1.1,2.8,0.84,2.45,0.75,,,,,,,,,,,,,0.014872
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS15250+3609,0.05516,11.1,0.6,5.718375643,0.315445768,3.052851838,0.152722945,2.1,0.03,6.99,0.04,,,,,,,,,,,0.9655,0.0041,0.3675,0.0038,0.1355,0.0045,7.268,0.364,5.907,0.295,0.033,0.008,0.252,0.086,1.28,0.026,4.16,1.25,2.37,0.711,1.6,0.48,1.16,0.348,4.4,1.6,3,1.5,,,,,,,,,0.014905
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS15462-0450,0.09979,7.4,0.79,,,,,1.01,0.17,2.56,0.53,1.41,0.14,2.22,0.43,2.5,0.3,1.45,0.06,2.38,0.23,0.4917,0.0042,0.1616,0.0042,0.0503,0.0075,2.09,0.2,3,0.42,,,,,0.454,0.05,,,2.8,0.84,2.44,0.732,,,,,,,,,,,,,,,0.005533
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS16090-0139,0.13358,9.54,1.2,,,,,1.7,0.22,3.85,0.59,2.57,0.15,3.04,0.47,3.72,0.4,2.98,0.07,4.2,0.38,1.0671,0.0044,0.4036,0.0039,0.1157,0.0048,3.609,0.144,4.874,0.487,,,,,0.264,0.032,4,1.2,2.75,0.825,2,0.6,1.21,0.363,,,,,,,,,,,,,0.012727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS17208-0014,0.0428,81.6,2.8,38.37677232,2.113027591,23.30265035,1.154370865,19.44,0.08,34.63,0.3,27,2.5,40.7,4.9,31.6,2.7,31.5,2.6,,,7.9181,0.0367,2.9532,0.0104,0.9535,0.009,32.13,0.057,36.08,0.555,0.155,0.048,1.07,0.3,1.61,0.029,30,9,23,6.9,17.5,5.25,12.5,3.75,24.3,2.9,26.4,3.2,41.9,3.9,48.5,4.9,,,,,0.104885
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS19254-7245,0.061709,31.37,1.92,6.300021347,0.347374017,4.392235196,0.217810988,1.76,0.19,1.73,1.2,1.96,0.14,,,1.92,0.56,2,0.06,2,4,1.5447,0.0052,0.587,0.0041,0.1854,0.0045,5.16,0.03,5.789,0.46,,,,,1.24,0.062,3.5,0.5,2.6,0.3,2.3,0.7,1.6,0.5,,,,,,,,,0.012,0.0036,,,0.020394
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS19297-0406,0.08573,26.5,1.5,9.142599746,0.503867153,5.78999123,0.288569888,4.23,0.05,7.23,0.07,,,,,,,,,,,2.0392,0.0059,0.752,0.0043,0.2443,0.0047,7.32,0.107,8.62,0.474,,,,,0.69,0.034,,,,,,,,,,,,,,,,,,,,,0.026873
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS20087-0308,0.10567,17.14,0.18,,,,,3.13,0.2,2.15,0.77,2.11,0.14,1.89,0.89,2.24,0.55,5.01,0.07,6.31,0.39,1.8036,0.0057,0.6865,0.0042,0.21,0.0048,4.7,0.28,6.536,0.523,,,,,0.243,0.041,5.96,1.8,4.05,1.2,2.95,0.89,2.3,0.7,,,,,,,,,,,,,0.0231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS20100-4156,0.12958,9.65,0.19,,,,,1.64,0.18,5.38,0.54,2.86,0.13,4.91,0.57,5.07,0.41,3.23,0.1,5.09,0.41,1.0009,0.0044,0.3494,0.004,0.1022,0.0047,5.19,0.04,5.165,0.362,,,,,0.3433,0.038,4.51,1.35,3.36,1,2.09,0.63,1.86,0.558,,,,,,,,,,,,,0.011242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
