Name                2 comp b=2         1 comp              1 comp b=2          2 comp              Thick                Best

IRAS00188-0856      1.47717130811      4.32574686302       6.673172076433333   2.081974177785      1.1106370047125      Thick
IRAS00397-1312      4.47696185788      5.962707833450001   5.347004074128571   2.386845913156666   1.27775699152        Thick
IRAS01003-2238      1.134957767015     0.9209142354633334  0.7014301103975     Inf                 1.511415466355       1 comp
IRAS03158+4227      5.461331587033333  7.965659139428571   9.330830699325      6.43583414205       5.401834874966667    Thick
IRAS03521+0028      7.034506046733333  9.4578282931        17.79615669126      19.5760182008       6.968052769900001    Thick
IRAS05189-2524      115.080702109875   108.3920198326667   263.673298691       148.6984766946667   110.327015020125     1 comp
IRAS06035-7102      7.03331331004      8.30904029          13.82698408466667   3.480400496975      2.34341123766        Thick
IRAS06206-6315      3.7437252838125    12.21976827155556   21.1933411724       2.3222394333        1.9009902486875      Thick
IRAS07598+6508      4.79970632395      13.1197571327       18.3434199528       Inf                 1.46760563985        Thick
IRAS08311-2459      4.596482871166667  12.88698515057143   14.217590644875     2.66395511485       1.902321978533333    Thick
IRAS08572+3915      93.2068096216      109.2519321508333   149.9250707628571   147.1608237746667   125.1799311668       2 comp b=2
IRAS09022-3615      378.800590755      457.574369996       453.7197389816667   372.931967157       148.384491452        Thick
IRAS10378+1109      5.615463869566667  12.94557846441429   13.132477070125     0.68876393225       0.962304210285       Thick
IRAS10565+2448      35.7430150025      87.57002764615385   142.2357833107143   35.7919784598       18.11880823841667    Thick
IRAS11095-0238      4.660661053283333  5.455391251928572   4.954377741675      1.8821279354825     2.136234749216667    2 comp
IRAS12071-0444      4.00990295025      7.033558451057142   7.1854823935625     1.157829944985      0.7575218527416667   2 comp
IRAS13120-5453      65.2797945488      339.5827155733334   1010.321113631429   142.7385737         66.35005089500001    2 comp b=2
IRAS13451+1232      4.914716053342858  20.652904539875     85.99302067022222   3.18146673694       23.60751874214285    2 comp
IRAS14348-1447      35.3554340805      73.12584928436364   126.9603474133333   16.233358500625     10.9589188297        Thick
IRAS14378-3651      65.4492560745      101.8801137627778   213.568880418       58.75912014916667   35.81783983775       Thick
IRAS15250+3609      17.46634869691666  35.24313921438461   131.0335907078571   15.2660466721       26.82925698458333    2 comp
IRAS15462-0450      4.4784935994125    4.721496322822222   4.25129291259       2.5465257678        1.8235445136375      Thick
IRAS16090-0139      5.352658209925     11.81970991555556   14.8437757384       1.37628598106       1.20531855943375     Thick
IRAS17208-0014      13.71730104644444  33.32278277757895   249.7124119715      10.06441874325      12.54622690988889    2 comp
IRAS19254-7245      13.41071202117143  17.80414503875      29.82704511566667   11.89451558924      8.160810547900001    Thick
IRAS19297-0406      108.766077707      185.2935835164      279.2245153866667   89.5356409625       41.23138413625       Thick
IRAS20087-0308      8.5468839065875    15.02806240855555   13.5568747117       1.649172315248333   1.1042320931425      Thick
IRAS20100-4156      5.76992923251      9.376241632000001   10.35494713025      1.769600559925      1.7014102391         Thick
IRAS20414-1651      2.139929231866667  8.620028130771429   15.87125013725      2.6499507108        1.826992959883333    Thick
IRAS20551-4250      38.62881039225     55.13006851538461   123.6566995564286   43.453472059        37.19073701216666    Thick
IRAS22491-1808      27.329820359       42.47203274645454   111.6040639141667   18.8011273835       22.3213079033        2 comp
IRAS23128-5919      162.1566296785714  154.4644391513334   212.5403696425      189.1914348341667   158.800382015        1 comp
IRAS23230-6926      4.44348025603      5.533653630245454   5.27994501395       2.7568383194        2.3411925781         Thick
IRAS23253-5415      4.11080224095      7.66476937064       23.50976530316666   5.262328821         3.810022189525       Thick
IRAS23365+3604      62.3290865323      113.9001011118182   256.8593289775      32.685735927        22.809530055         Thick
Mrk1014             2.225009574044444  4.9009005617        15.79276084536364   2.817236178014286   2.217572772744445    Thick
UGC5101             112.2236441986     140.637303136       477.8696510142858   95.76466397933332   150.928491201        2 comp
3C273               40.4072894646      417.4433134233333   569.1403783342857   67.041032356        500.931132934        2 comp b=2
Mrk231              3.085182080223529  5.592681584         7.932467050157895   2.4876011606        2.662238691794118    2 comp
Mrk273              82.11143131999999  88.40908691833334   107.7501211252632   83.62432235666667   76.19683409470588    Thick
Mrk463              0.946750104169     1.249600142045455   4.319293329233333   1.13150570134125    1.33281030201        2 comp b=2
Arp220              20.2838927074      65.60664640483334   1030.016890314286   54.70850559666667   14.03247479432       Thick
NGC6240             42.369409162625    38.34558570876471   167.8559439488889   44.913753322        41.5939954398125     1 comp


