Table name: Joined
COMMENT: 
*** End of mandatory fields ***


*** End of mandatory fields ***


*** End of mandatory fields ***


*** Column names ***


*** Column names ***


*** Colu...
EXTNAME: OBJECTS
LONGSTRN: OGIP 1.0
COMMENT: 
*** End of mandatory fields ***


*** Column names ***


*** Column formats ***

Match type: Pair match, best matched pairs only
Match algorithm: Sky
Join Type: 1 and 2 (An output row for each row represented in both input tables)
First input table: 1: ERCSC_f857.fits
Second input table: 20: IIFSCz_v4.fits
+---------------+---------------+---------------+---------------+---------------+---------------+--------------+-------------+--------------+-------------+-------------+---------+----------+-----------+-----------+------------+------------+-------------------------+----------------------+
| BANDFILL217   | BANDFILL217ER | BANDFILL353   | BANDFILL353ER | BANDFILL545   | BANDFILL545ER | FLUX857      | FLUXERR     | NAMEIRAS     | RA          | DEC         | S12     | S25      | S60       | S100      | ZSPEC      | Z          | NAMENED                 | Separation           |
| 395.6047      | 86.825714     | 1101.2827     | 158.4235      | 3140.831      | 340.58728     | 8821.032     | 915.434     | F21412+0242  | 325.9371    | 2.9414      | 0.07    | 0.118    | 0.274     | 4.521     | 0.0        | 0.0        | IRAS F21412+0242        | 201.05643064294017   |
| 153.38219     | 57.63687      | 330.12207     | 140.59886     | 1544.8518     | 275.19452     | 4814.2153    | 691.5939    | F21477+0333  | 327.5652    | 3.7928      | 0.084   | 0.144    | 0.263     | 4.087     | 0.0        | 0.0        | IRAS F21477+0333        | 77.21525606168827    |
| 279.59482     | 88.2517       | 420.89264     | 140.31686     | 1491.778      | 210.57298     | 5073.453     | 471.05984   | F21053+1232  | 316.9395    | 12.7405     | 0.099   | 0.093    | 0.297     | 3.192     | 0.0        | 0.0        | IRAS F21053+1232        | 233.4846056296221    |
| -56.28555     | 70.44806      | 216.22086     | 127.95046     | 1234.5839     | 230.14478     | 4046.6877    | 711.2346    | F18115+3532  | 273.3401    | 35.5596     | 0.071   | 0.053    | 0.232     | 1.4       | 0.0        | 0.0        | IRAS F18115+3532        | 57.11531774459671    |
| 47.266888     | 51.416378     | 346.37512     | 89.18897      | 939.2388      | 115.30372     | 2400.3923    | 283.70203   | F18008+3735  | 270.6285    | 37.599      | 0.079   | 0.047    | 0.212     | 1.181     | 0.0        | 0.0        | IRAS F18008+3735        | 40.87940388889896    |
| 152.55493     | 77.26029      | 609.9926      | 139.34187     | 1875.0388     | 316.19727     | 6043.6733    | 776.9975    | F21463+0915  | 327.19708   | 9.49397     | 0.063   | 0.151    | 0.327     | 2.392     | 0.0        | 0.0        | IRAS F21463+0915        | 211.0295028810042    |
| 175.80719     | 54.924915     | 577.3243      | 118.405464    | 1343.5864     | 166.89195     | 3575.9978    | 483.01614   | F18138+4040  | 273.8612    | 40.6872     | 0.052   | 0.04     | 0.189     | 2.3       | 0.0        | 0.0        | IRAS F18138+4040        | 240.80738555223513   |
| 202.2387      | 60.866867     | 486.74835     | 105.33672     | 920.48773     | 244.08304     | 3275.2026    | 560.24927   | F18241+4335  | 276.4192    | 43.6291     | 0.073   | 0.067    | 0.198     | 2.666     | 0.0        | 0.0        | IRAS F18241+4335        | 136.9185293050529    |
| 103.698425    | 65.258675     | 904.1373      | 130.52827     | 3705.698      | 494.71494     | 12223.275    | 1339.0948   | F18099+4426  | 272.8442    | 44.4554     | 0.072   | 0.055    | 0.201     | 4.787     | 0.0        | 0.0        | IRAS F18099+4426        | 58.67370031792282    |
| 116.2694      | 50.899826     | 879.83887     | 108.607376    | 2199.1267     | 216.80371     | 5848.799     | 489.7355    | F18119+5054  | 273.2906    | 50.9269     | 0.057   | 0.047    | 0.196     | 3.148     | 0.0        | 0.0        | IRAS F18119+5054        | 146.40670515129793   |
| -3.454992     | 60.86518      | 485.87244     | 112.09503     | 1303.8135     | 155.13438     | 4140.67      | 462.23758   | F22125+2025  | 333.7341    | 20.6679     | 0.067   | 0.084    | 0.275     | 3.457     | 0.0        | 0.0        | IRAS F22125+2025        | 129.14738331200957   |
| 77.92386      | 80.38242      | 328.69464     | 136.56885     | 1175.93       | 135.4318      | 3649.088     | 402.8061    | F00172-1844  | 4.956       | -18.4708    | 0.078   | 0.131    | 0.261     | 3.148     | 0.0        | 0.0        | IRAS F00172-1844        | 95.96531889874286    |
| 45.636715     | 42.033257     | 636.82153     | 112.39839     | 1559.5153     | 133.79503     | 4381.4487    | 352.56418   | F21579+2805  | 330.0551    | 28.3258     | 0.093   | 0.221    | 0.578     | 4.421     | 0.0        | 0.0        | IRAS  21579+2805        | 150.51056627264978   |
| 22.060043     | 66.171936     | 150.04074     | 125.78411     | 612.1662      | 164.45709     | 1499.9208    | 233.02753   | F00040-1234  | 1.6489      | -12.2922    | 0.093   | 0.147    | 0.209     | 1.26      | 0.0        | 0.0        | IRAS F00040-1234        | 71.46920408092193    |
| -6.845102     | 51.629883     | 192.76585     | 95.26252      | 915.8162      | 180.2483      | 2455.6072    | 366.82507   | F16508+5738  | 252.9234    | 57.558      | 0.062   | 0.05     | 0.158     | 1.716     | 0.0        | 0.0        | IRAS F16508+5738        | 172.68073938844978   |
| 107.03987     | 54.37251      | 702.5475      | 203.7976      | 2716.0454     | 504.96506     | 8294.058     | 1422.2224   | F23130+0824  | 348.892     | 8.6887      | 0.102   | 0.175    | 0.3       | 4.707     | 0.0        | 0.0        | IRAS F23130+0824        | 90.02242791019461    |
| 410.10593     | 85.90563      | 2030.1079     | 218.95035     | 5773.3726     | 626.44183     | 17921.19     | 1726.955    | F23041+1543  | 346.6633    | 15.99       | 0.076   | 0.165    | 0.297     | 8.959     | 0.0        | 0.0        | IRAS F23041+1543        | 37.78522156514255    |
| 68.9052       | 78.776245     | 714.5507      | 156.34131     | 2582.0632     | 329.10913     | 8440.789     | 897.22186   | F23246+0733  | 351.788     | 7.8256      | 0.108   | 0.176    | 0.333     | 5.356     | 0.0        | 0.0        | IRAS F23246+0733        | 47.90210968911453    |
| -6.828881     | 21.670536     | 483.11493     | 65.26943      | 1700.8293     | 139.95276     | 5382.7803    | 413.6405    | F19174+5959  | 289.5392    | 60.0855     | 0.06    | 0.053    | 0.208     | 3.099     | 0.0        | 0.0        | IRAS F19174+5959        | 258.9403585091488    |
| 569.0842      | 67.744514     | 1897.7477     | 179.9312      | 6252.4004     | 456.75674     | 18776.795    | 1400.1927   | F23051+2008  | 346.9152    | 20.4078     | 0.084   | 0.186    | 0.372     | 11.43     | 0.0        | 0.0        | IRAS F23051+2008        | 142.49655813030395   |
| 75.94494      | 29.541069     | 500.24393     | 49.052628     | 1432.3456     | 99.83507      | 4233.4844    | 298.07654   | F19032+6528  | 285.8531    | 65.5537     | 0.289   | 0.078    | 0.2       | 2.083     | 0.0        | 0.0        | IRAS F19032+6528        | 213.44166306468233   |
| 47.283108     | 36.913517     | 231.88998     | 65.253914     | 858.58984     | 98.569496     | 3485.5193    | 421.6972    | F16556+6903  | 253.82      | 68.96964    | 0.062   | 0.083    | 0.268     | 3.926     | 0.0        | 0.0        | IRAS F16556+6903        | 285.86848335769656   |
| 301.38724     | 56.59913      | 1230.4637     | 88.06433      | 3000.0361     | 128.7279      | 8854.934     | 229.68318   | F17499+7009  | 267.36047   | 70.14434    | 0.99    | 1.0      | 9.84      | 26.72     | 2.0E-4     | 0.0        | NGC 6503                | 25.328429448097697   |
| 142.96854     | 53.75297      | 270.1382      | 61.334198     | 463.39066     | 104.305824    | 1481.9807    | 264.77875   | F15441+6644  | 236.13538   | 66.58181    | 0.063   | 0.065    | 0.199     | 1.218     | 0.0        | 0.0        | IRAS  15441+6644        | 117.10721804360307   |
| 44.087646     | 28.183834     | 335.05313     | 68.63831      | 623.45575     | 116.46997     | 2375.7043    | 304.07373   | F17045+7033  | 256.0137    | 70.4964     | 0.05    | 0.041    | 0.288     | 2.614     | 0.0        | 0.0        | IRAS F17045+7033        | 195.14881066230268   |
| 628.33813     | 117.66955     | 2365.9072     | 328.73935     | 8838.097      | 956.70264     | 25560.064    | 2815.8933   | F23236+3327  | 351.4988    | 33.74492    | 0.113   | 0.121    | 0.36      | 7.817     | 0.0        | 0.0        | IRAS F23236+3327        | 243.3007399245963    |
| 399.0759      | 64.7677       | 1619.564      | 151.10579     | 4200.1025     | 401.62527     | 11979.447    | 958.1726    | F23215+3458  | 351.0007    | 35.2477     | 0.106   | 0.06     | 0.417     | 7.056     | 0.0        | 0.0        | IRAS F23215+3458        | 75.61766897593353    |
| 24.793217     | 75.249695     | 653.3666      | 176.30515     | 1499.9531     | 217.35504     | 4624.4985    | 568.81366   | F23573+2009  | 359.9876    | 20.437      | 0.096   | 0.163    | 0.216     | 1.893     | 0.0        | 0.0        | IRAS F23573+2009        | 217.40968906132753   |
| 21.784292     | 59.9374       | 215.96133     | 155.6651      | 330.3816      | 115.763054    | 1391.1777    | 203.6549    | F14306+6748  | 217.8951    | 67.5842     | 0.059   | 0.056    | 0.163     | 1.004     | 0.0        | 0.0        | IRAS F14306+6748        | 193.03644947006086   |
