F10042-2941   151.63882  -29.93537   2     0.200     0.791     5.042     5.134  3  3  3  2       0.00    0.00    0.00    0.00    0.00   11.54   10.97   10.69    0.00    0.00    0.00    0.00    0.00    0.03    0.04    0.06   1        26.60000    1.60000   0.003712   5   0.000000   0.000000   0.009250   0.003712  5  0.00      0.148   0  -19.04    9.87    0.0000  1.0000  0.0000  0.0000    6.78    9.51    6.44    7.94       9.51    2        0.460  -0.66   0.00   0.70   0.71   0.68   0.64   0.49   0.38  -0.09  -0.52  -1.03  -1.84  -2.47  -2.63   1     151.58936 -29.94761    4599.37     561.10      -7.44      32.42     420.88      93.35    1443.44     238.30 265.29797  20.60839       2.675   G             NGC 3125                  -9223372036854775808       10063331-2956073
F11465+5621   177.31404   56.08435   2     0.108     0.075     0.415     2.019  3  1  3  2       0.00    0.00    0.00    0.00    0.00    8.74    8.04    7.82    0.00    0.00    0.00    0.00    0.00    0.01    0.02    0.02   1         7.30000    1.30000   0.003923   5   0.000000   0.000000   0.004620   0.003923  4  0.00      0.572   0  -21.16   10.78    1.0000  0.0000  0.0000  0.0000    8.74    5.47    5.41    6.91       8.74    1       10.016  -1.40  -1.36  -0.38   0.11   0.18   0.22   0.21   0.17  -0.15  -0.52  -0.98  -1.76  -2.37  -2.52   1     177.31093  56.08847    2054.39     132.20       7.56      43.19     210.90      58.31     687.77      70.32 139.79051  58.95747       0.268   G             NGC 3898                  -9223372036854775808       11491536+5605036
F05416-6419    85.46301  -64.30110   2     0.201     0.247     2.680     8.187  3  3  3  2       0.00    0.00    0.00    0.00    0.00   10.40    9.76    9.53    0.00    0.00    0.00    0.00    0.00    0.03    0.04    0.05   1         0.00000    0.00000   0.003950   5   0.000000   0.000000   0.004620   0.003950  5  0.00      0.398   0  -20.32   10.38    0.9000  0.1000  0.0000  0.0000    9.51    8.29    6.22    7.72       9.54    1        0.618  -0.61  -0.51   0.43   0.89   0.95   0.99   0.98   0.94   0.62   0.25  -0.22  -1.00  -1.60  -1.75   1      85.46835 -64.30523    3102.80     201.63      16.31      24.39     190.19      27.54     901.03      83.35 273.81610 -31.75114       0.284   G             NGC 2082                  -9223372036854775808       05415112-6418039
F12478+2545   192.58208   25.48286   3     0.153     0.158     0.875    13.440  2  1  3  1       0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   0         7.20000    1.70000   0.004026   5   0.000000   0.000000   0.000000   0.004026  0  0.00      0.000   0    0.00    0.00    1.0000  0.0000  0.0000  0.0000    9.09    5.82    5.75    7.25       9.09    1        6.558  -1.07  -1.03  -0.06   0.44   0.50   0.54   0.54   0.49   0.17  -0.19  -0.66  -1.44  -2.04  -2.20   1     192.60289  25.49675   11614.88     557.02     259.95      42.34    1090.71      90.83    4129.71     215.57 294.85022  88.35236       1.402   IrS           IRAS  12478+2545          -9223372036854775808                       
F11373+5853   175.02850   58.61316   2     0.084     0.076     0.290     1.272  1  1  3  2       0.00    0.00    0.00    0.00    0.00   11.68   11.04   10.78    0.00    0.00    0.00    0.00    0.00    0.02    0.03    0.05   1         6.70000    0.40000   0.004036   5   0.015607   0.003511   0.013910   0.004036  5  0.00      0.310   1  -19.09    9.89    1.0000  0.0000  0.0000  0.0000    8.61    5.34    5.27    6.78       8.61    1        0.684  -1.55  -1.51  -0.54  -0.04   0.02   0.06   0.06   0.01  -0.31  -0.67  -1.14  -1.92  -2.52  -2.68   1     175.02602  58.61507    1371.86     129.10      47.30      49.15     252.78      50.71     637.76      64.20 139.56981  56.14909       0.139   G             NGC 3795                  -9223372036854775808       11400684+5836473
F11211+1805   170.93958   17.81857   2     0.223     0.203     1.580     4.073  1  1  3  2       0.00    0.00    0.00    0.00    0.00   11.31   10.71   10.45    0.00    0.00    0.00    0.00    0.00    0.02    0.04    0.04   1        12.80000    1.40000   0.004287   5   0.010492   0.002709   0.009250   0.004287  5  0.00      0.004   1  -19.59   10.09    0.6000  0.4000  0.0000  0.0000    9.18    8.73    6.06    7.57       9.31    1        0.003  -0.92  -0.64   0.20   0.55   0.60   0.63   0.61   0.56   0.23  -0.14  -0.61  -1.39  -1.99  -2.15   1     170.93149  17.82031    1489.84     115.84      62.76      31.78     284.53      62.19     622.28     103.22 233.06482  67.74923       0.474   G             NGC 3659                  -9223372036854775808       11234549+1749068
F12323+1549   188.70728   15.57040   1     0.272     0.140     1.523     5.515  1  1  3  2      18.67   17.59   17.25   17.00   16.87   10.35    9.68    9.44    0.02    0.01    0.01    0.01    0.02    0.02    0.03    0.03   1         3.10000    0.50000   0.004290   5   0.008474   0.003957   0.009250   0.004290  5  0.00      0.934   3  -20.55   10.47    1.0000  0.0000  0.0000  0.0000    9.39    6.11    6.05    7.55       9.39    1        0.000  -0.83  -0.79   0.18   0.68   0.74   0.78   0.78   0.73   0.41   0.05  -0.42  -1.20  -1.80  -1.96   1     188.72430  15.55043    2722.25     255.33      10.94      87.85     384.39     116.66     683.15     125.11 283.73764  77.80136       1.551   G      GALAXY NGC 4540                    587735349113651229       12345086+1533052
F10138+2122   154.14224   21.12305   1     0.572     1.083     9.144    16.720  3  3  3  2      14.52   13.15   12.37   11.97   11.64   10.30    9.60    9.29    0.00    0.00    0.00    0.00    0.00    0.01    0.01    0.01   1        50.80000    2.20000   0.004343   5   0.012454   0.000824   0.004620   0.004343  3  0.00      0.074   1  -19.50   10.20    0.4000  0.6000  0.0000  0.0000    9.78    9.68    6.84    8.34      10.03    1        0.696  -0.23   0.17   0.96   1.23   1.26   1.28   1.25   1.19   0.85   0.47   0.00  -0.78  -1.38  -1.54   1     154.14206  21.12651    3148.19     123.18      94.51      41.74     300.70      88.72     616.68      75.51 214.02058  54.29975       0.208   G      GALAXY NGC 3177                    587741815710351437       10163416+2107223
F12522-0958   193.71638  -10.24782   2     0.137     0.243     2.663     6.032  2  1  3  2       0.00    0.00    0.00    0.00    0.00   10.82   10.18    9.95    0.00    0.00    0.00    0.00    0.00    0.03    0.04    0.06   1        16.60000    1.90000   0.004483   5   0.000000   0.000000   0.004620   0.004483  5  0.00      0.274   0  -20.17   10.32    0.4000  0.6000  0.0000  0.0000    9.27    9.17    6.33    7.83       9.53    1        0.626  -0.76  -0.36   0.43   0.69   0.73   0.75   0.71   0.66   0.31  -0.06  -0.53  -1.31  -1.92  -2.07   1     193.72583 -10.25224    2303.10     125.43      79.55      54.86     355.41     116.28     860.51     102.31 304.33594  52.61006       0.618   G             NGC 4790                  -9223372036854775808       12545193-1014521
F11218+0335   171.10345    3.31410   1     0.190     0.224     0.973     1.962  1  1  3  2      16.96   16.19   16.05   16.13   16.66   13.33   12.81   12.58    0.02    0.01    0.01    0.01    0.06    0.07    0.09    0.16   1         7.30000    1.40000   0.004573   5   0.000000   0.000000   0.004620   0.004573  5  0.00      0.663   0  -17.71    9.34    0.4000  0.6000  0.0000  0.0000    8.85    8.75    5.91    7.41       9.11    1        0.000  -1.20  -0.80  -0.01   0.26   0.29   0.31   0.27   0.22  -0.12  -0.50  -0.97  -1.75  -2.36  -2.51   1     171.15631   3.31333    2768.68     526.55     143.65      36.75     392.15      97.34    1589.49     290.01 258.11243  58.41571       3.166   G      GALAXY NGC 3664                    587726033855250512       11242425+0319299
F12124+6403   183.73160   63.78276   2     0.082     0.152     1.833     4.388  2  3  3  2       0.00    0.00    0.00    0.00    0.00   11.55   10.86   10.56    0.00    0.00    0.00    0.00    0.00    0.02    0.04    0.04   1        16.30000    1.40000   0.004727   5   0.000000   0.000000   0.004620   0.004727  6  0.00      0.093   0  -18.94    9.98    0.5500  0.4500  0.0000  0.0000    9.29    8.93    6.21    7.71       9.45    1        3.623  -0.88  -0.56   0.26   0.60   0.65   0.67   0.65   0.60   0.27  -0.11  -0.57  -1.35  -1.96  -2.11   1     183.73486  63.78645    1480.28     143.75     -18.17      41.24     204.80      54.90     547.53      82.15 129.59544  52.86703       0.238   G             NGC 4205                  -9223372036854775808       12145558+6346579
F09521+0930   148.70651    9.27109   1     0.142     0.426     2.818     4.240  2  3  3  2      14.56   13.61   12.97   12.92   12.73   11.35   10.66   10.40    0.00    0.00    0.00    0.00    0.00    0.03    0.03    0.04   1         9.10000    1.10000   0.004854   5   0.012453   0.002911   0.004620   0.004854  4  0.00      0.398   2  -19.01    9.92    0.2000  0.8000  0.0000  0.0000    9.06    9.39    6.42    7.92       9.56    2        0.239  -0.82  -0.29   0.45   0.61   0.62   0.62   0.55   0.49   0.12  -0.26  -0.74  -1.53  -2.14  -2.29   1     148.70717   9.27136    1852.61     162.20     123.31      39.49     275.78      67.67     894.02     109.95 227.56560  44.72300       0.042   G      GALAXY NGC 3049                    587735342654095374       09544965+0916179
F11202+1651   170.72752   16.59017   2     0.551     0.809     7.986    18.900  3  2  3  2       0.00    0.00    0.00    0.00    0.00    9.87    9.19    8.90    0.00    0.00    0.00    0.00    0.00    0.01    0.01    0.02   1        66.10000    2.60000   0.004913   5   0.000000   0.000000   0.004620   0.004913  6  0.00      0.174   0  -20.70   10.69    0.6500  0.3500  0.0000  0.0000   10.04    9.50    6.89    8.39      10.15    1        0.831  -0.20   0.05   0.90   1.28   1.33   1.36   1.34   1.30   0.97   0.60   0.13  -0.65  -1.26  -1.41   1     170.73225  16.58911    4659.11     170.91     -12.11      43.63     400.50      64.31    1411.61      89.68 235.59380  66.97154       0.279   G             NGC 3655                  -9223372036854775808       11225460+1635246
F20597-1700   315.63031  -16.81830   2     0.105     0.145     0.500     2.086  1  1  3  2       0.00    0.00    0.00    0.00    0.00   10.79   10.16    9.94    0.00    0.00    0.00    0.00    0.00    0.02    0.02    0.03   1         0.00000    0.00000   0.004917   5   0.000000   0.000000   0.004620   0.004917  5  0.00      0.252   0  -20.41   10.42    1.0000  0.0000  0.0000  0.0000    9.02    5.75    5.68    7.18       9.02    1        0.360  -1.31  -1.28  -0.30   0.19   0.26   0.30   0.30   0.25  -0.07  -0.44  -0.90  -1.68  -2.28  -2.44   1     315.63300 -16.82328    2532.15     190.49      35.57      41.82     257.22      71.43    1136.34     135.07  31.41508 -36.37877       0.336   G             IC 5078                   -9223372036854775808       21023127-1649058
F09554+3236   149.58783   32.36990   1     0.583     1.011     8.496    18.320  3  3  3  2      14.18   12.74   11.95   11.56   11.29   10.01    9.28    8.99    0.01    0.00    0.00    0.00    0.00    0.01    0.01    0.02   1        62.90000    2.50000   0.004923   5   0.000000   0.000000   0.004620   0.004923  3  0.00     -0.015   0  -20.06   10.42    0.5500  0.4500  0.0000  0.0000    9.99    9.63    6.91    8.42      10.15    1        0.412  -0.21   0.10   0.93   1.26   1.31   1.34   1.32   1.26   0.93   0.56   0.09  -0.69  -1.29  -1.45   1     149.58992  32.37014    3319.96     131.49     143.91      41.26     236.31      76.92     965.09      85.29 194.22227  52.32227       0.107   G      GALAXY NGC 3067                    587739158191145031       09582105+3222119
