Name,Redshift,F250_Jy,E250_Jy,F350_Jy,E350_Jy,F500_Jy,E500_Jy,F60_Jy,E60_Jy,F100_Jy,E100_Jy,F850_Jy,E850_Jy,F450_Jy,E450_Jy,F25_Jy,E25_Jy,F120_Jy,E120_Jy,F150_Jy,E150_Jy,F180_Jy,E180_Jy,F200_Jy,E200_Jy,F122_Jy,E122_Jy,F145_Jy,E145_Jy,F158_Jy,E158_Jy,F170_Jy,E170_Jy,F63_Jy,E63_Jy,F88_Jy,E88_Jy,F52_Jy,E52_Jy,F57_Jy,E57_Jy,F1300_Jy,E1300_Jy,F2000_Jy,E2000_Jy,,
IRAS19254-7245,0.061709,1.5447,0.0052,0.587,0.0041,0.1854,0.0045,5.16,0.03,5.789,0.46,,,,,1.24,0.062,3.5,0.5,2.6,0.3,2.3,0.7,1.6,0.5,,,2,0.3,,,,,,,,,,,,,0.012,0.0036,,,,
IRAS19297-0406,0.08573,2.0392,0.0059,0.752,0.0043,0.2443,0.0047,7.32,0.107,8.62,0.474,,,,,0.69,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS20087-0308,0.10567,1.8036,0.0057,0.6865,0.0042,0.21,0.0048,4.7,0.28,6.536,0.523,,,,,0.243,0.041,5.96,1.8,4.05,1.2,2.95,0.89,2.3,0.7,,,,,,,,,,,,,,,,,,,,,,
IRAS20100-4156,0.12958,1.0009,0.0044,0.3494,0.004,0.1022,0.0047,5.19,0.04,5.165,0.362,,,,,0.3433,0.038,4.51,1.35,3.36,1,2.09,0.63,1.86,0.558,,,,,,,,,,,,,,,,,,,,,,
IRAS20414-1651,0.87084,1.3151,0.0047,0.5192,0.004,0.1681,0.0051,4.364,0.262,5.247,0.367,,,,,0.346,0.062,3.6,1.08,2.56,0.77,1.54,0.46,,,,,,,,,,,,,,,,,,,,,,,,
IRAS20551-4250,0.042996,1.6291,0.0053,0.5557,0.0039,0.1702,0.0047,12.19,0.032,10.31,0.065,,,,,1.87,0.031,7,0.3,4.4,0.2,2.1,0.1,1,0.3,7.7,0.7,6,0.7,5.4,0.8,4.63,1.3,,,,,,,,,,,,,,
IRAS22491-1808,0.0778,0.8619,0.004,0.3045,0.0039,0.0965,0.0046,5.54,0.036,4.64,0.095,0.019,0.0057,,,0.56,0.074,3.55,1.07,2.7,0.81,1.95,0.59,1.7,0.51,,,,,3.3,1,,,,,,,,,,,,,,,,
IRAS23128-5919,0.0446,1.5649,0.0078,0.5562,0.0061,0.1763,0.0073,10.94,0.037,10.68,0.1,,,,,1.64,0.026,11.4,0.6,7.95,0.25,4.31,0.18,2.8,0.3,6,0.7,4.6,0.5,6.1,1.3,5.7,0.8,,,,,10.9,1,9,1.1,,,,,,
IRAS23230-6926,0.10659,0.6165,0.0043,0.2039,0.0036,0.0638,0.0045,3.74,0.15,3.42,0.21,,,,,0.295,0.024,4.1,1.23,3,0.9,2,0.6,1.7,0.51,,,,,,,,,,,,,,,,,0.01,0.003,,,,
IRAS23253-5415,0.13,1.0436,0.0046,0.4368,0.004,0.1654,0.0049,2.296,0.18,3.493,0.21,,,,,0.214,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS23365+3604,0.0645,1.8485,0.0056,0.6693,0.004,0.2095,0.0049,7.44,0.046,9.01,0.216,0.02,0.006,0.17,0.051,0.94,0.025,6.75,2,,,3.35,1,3.01,0.9,,,5.6,0.6,,,,,,,,,,,,,,,,,,
Mrk1014,0.16311,0.4595,0.0038,0.1752,0.0039,0.0626,0.0046,2.377,0.056,2.322,0.13,,,,,0.52,0.058,,,1.05,0.32,,,0.65,0.2,,,,,,,,,,,,,,,,,,,,,,
UGC5101,0.039367,6.071,0.0387,2.3274,0.0179,0.7458,0.0089,11.68,0.034,19.91,0.137,0.143,0.025,1.433,0.304,1.15,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3C273,0.1583,0.4369,0.0038,0.6332,0.0039,0.9938,0.005,2,0.14,2.891,0.203,6.454,0.649,,,0.941,0.027,1546,0.094,1.09,0.08,1.56,0.075,0.79,0.11,,,,,,,,,,,,,,,,,,,,,,
Mrk231,0.04217,5.6184,0.0189,2.0109,0.0075,0.6151,0.0083,31.99,1.6,30.29,1.211,0.096,18,0.513,0.169,8.84,0.028,24.32,7.3,14.7,4.4,9.75,2.93,6.88,2.06,,,16,1.7,16.1,2.2,15.3,1.6,42.9,4,34.1,4.4,32.4,3.2,37.2,3.6,0.0498,0.0121,0.0281,0.0067,,
Mrk273,0.03778,4.1897,0.0113,1.4927,0.0056,0.4706,0.0062,21.74,0.87,21.38,0.86,0.084,0.022,0.71,0.25,2.36,0.024,23.6,0.52,16.95,0.22,7.48,0.2,5.75,0.3,15.4,1.3,12.5,1.3,8.4,1,8.3,1,24.9,2.5,22.6,2.3,,,22.3,2,,,,,,
Mrk463,0.050355,0.3438,0.0035,0.1335,0.0035,0.0521,0.0047,2.184,0.655,1.924,0.211,,,,,1.576,0.095,1.6,0.48,0.8,0.15,,,0.45,0.135,,,,,1,0.2,,,2,0.2,,,,,,,,,,,,
Arp220,0.018,30.4137,0.1322,12.0643,0.0361,4.1448,0.0148,103.8,3.38,112.4,3.372,0.832,0.086,6.286,1.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC6240,0.0244,5.1661,0.0291,2.0307,0.0092,0.7435,0.0081,22.94,0.054,26.49,0.174,0.15,0.045,1,0.3,3.55,0.02,23.7,0.3,18.2,0.2,9.5,0.1,7.1,0.3,20.8,3.7,17.9,3.1,16.8,2.8,11.5,2.1,,,25.8,4,16.5,2.5,,,,,,,,
