F04087-5614    62.46605  -56.11844   2     0.117     0.105     0.308     1.059  1  1  3  2       0.00    0.00    0.00    0.00    0.00    8.65    7.97    7.75    0.00    0.00    0.00    0.00    0.00    0.01    0.01    0.02   1         0.00000    0.00000   0.002635   5   0.000000   0.000000   0.004620   0.002635  4  0.00      1.096   0  -20.38   10.47    0.9500  0.0500  0.0000  0.0000    8.24    6.70    4.93    6.43       8.26    1        0.003  -1.54  -1.47  -0.51  -0.03   0.03   0.07   0.06   0.02  -0.30  -0.67  -1.14  -1.92  -2.52  -2.68   1      62.45832 -56.11681    1264.06      95.11     -42.04      45.84     136.45      57.21     554.02      66.82 266.44791 -44.43758  0       0.276   G             NGC 1533                  -9223372036854775808       04095185-5607063
F19049-6357   287.44208  -63.85754   2     0.179     0.223     2.210    30.420  3  3  3  1       0.00    0.00    0.00    0.00    0.00    7.01    6.46    6.20    0.00    0.00    0.00    0.00    0.00    0.02    0.02    0.02   1         0.00000    0.00000   0.002805   5   0.000000   0.000000   0.004620   0.002805  1  0.00      9.709   0  -21.47   11.12    0.9500  0.0500  0.0000  0.0000    9.15    7.62    5.84    7.34       9.17    1        0.279  -0.68  -0.61   0.34   0.82   0.89   0.92   0.92   0.87   0.55   0.18  -0.28  -1.06  -1.67  -1.82   1     287.44418 -63.85844   26532.02    1681.06     472.01      62.87    1498.47     108.16    6964.16     362.49 332.22318 -26.14751  1       0.078   G             NGC 6744                  -9223372036854775808       19094609-6351271
F11374+4613   175.02797   45.94284   2     0.104     0.134     0.331     0.828  1  1  3  2       0.00    0.00    0.00    0.00    0.00   14.10   13.36   13.03    0.00    0.00    0.00    0.00    0.00    0.08    0.09    0.13   1         9.60000    0.50000   0.002805   5   0.048160   0.015874   0.018590   0.002805  3  0.00      0.006   1  -14.75    8.30    0.6000  0.4000  0.0000  0.0000    8.13    7.69    5.02    6.52       8.26    1        0.004  -1.60  -1.32  -0.48  -0.13  -0.08  -0.05  -0.07  -0.12  -0.45  -0.82  -1.29  -2.07  -2.67  -2.83   1     175.03021  45.94345    1017.22     123.52     -46.43      48.60      71.81      52.83     413.51      94.48 155.15857  66.46860  0       0.100   G             UGC 06628                 -9223372036854775808       11400671+4556342
F12261+0932   187.16899    9.25892   2     0.152     0.322     1.680     4.557  2  1  3  2       0.00    0.00    0.00    0.00    0.00   10.96   10.28   10.08    0.00    0.00    0.00    0.00    0.00    0.03    0.03    0.05   1         6.30000    0.50000   0.002882   5   0.010004   0.002942   0.004620   0.002882  5  0.00      1.307   1  -19.07    9.88    0.7500  0.2500  0.0000  0.0000    8.96    8.21    5.74    7.25       9.03    1        0.128  -0.85  -0.66   0.23   0.64   0.69   0.73   0.71   0.67   0.34  -0.03  -0.50  -1.27  -1.88  -2.03   1     187.17065   9.26035    1119.18     120.27     -30.78      56.09     279.09      88.26     462.23      85.79 285.12592  71.34115  0       0.131   G             NGC 4451                  -9223372036854775808       12284055+0915321
F12146+1536   184.29758   15.32398   1     0.269     0.321     2.764     9.189  3  2  3  2      13.88   12.41   11.70   11.31   11.05    9.68    8.97    8.72    0.00    0.00    0.00    0.00    0.00    0.01    0.01    0.02   1         6.00000    0.50000   0.002892   5   0.007677   0.000753   0.004620   0.002892  4  0.00      0.153   1  -19.55   10.14    0.9000  0.1000  0.0000  0.0000    9.25    8.04    5.96    7.47       9.28    1        0.027  -0.60  -0.50   0.44   0.90   0.97   1.00   0.99   0.95   0.63   0.26  -0.21  -0.99  -1.59  -1.74   1     184.29955  15.32074    3913.65     139.25       3.68      48.51     333.71      89.45     757.31      75.64 267.22491  75.76122  0       0.225   G      GALAXY NGC 4237                    587738569776955447       12171141+1519262
F12523+4648   193.65739   46.53114   2     0.366     0.447     4.872    13.940  3  3  3  2       0.00    0.00    0.00    0.00    0.00    9.34    8.64    8.36    0.00    0.00    0.00    0.00    0.00    0.01    0.01    0.01   1        22.40000    1.40000   0.002972   5   0.000000   0.000000   0.009250   0.002972  4  0.00      0.127   0  -19.95   10.30    0.8500  0.1500  0.0000  0.0000    9.50    8.48    6.23    7.74       9.54    1        0.703  -0.36  -0.23   0.69   1.13   1.19   1.23   1.22   1.17   0.85   0.48   0.02  -0.76  -1.37  -1.52   1     193.65115  46.53136    3360.76     114.37      16.62      48.62     111.35      77.39     850.29      87.84 121.29315  70.58681  0       0.258   G             NGC 4800                  -9223372036854775808       12543777+4631521
F11539+5042   179.11989   50.42839   2     0.079     0.059     0.255     1.022  1  1  3  2       0.00    0.00    0.00    0.00    0.00   12.15   11.46   11.22    0.00    0.00    0.00    0.00    0.00    0.05    0.07    0.10   1         0.00000    0.00000   0.003038   5   0.019044   0.007473   0.004620   0.003038  4  0.00      0.377   1  -17.19    9.19    1.0000  0.0000  0.0000  0.0000    8.31    5.04    4.97    6.48       8.31    1        0.199  -1.61  -1.57  -0.59  -0.10  -0.04   0.00   0.00  -0.05  -0.37  -0.73  -1.20  -1.98  -2.58  -2.74   1     179.11502  50.44077    1414.06     118.85      64.03      45.15     214.38      68.74     658.34      84.12 143.46228  64.43938  0       0.766   G             UGC 06917                 -9223372036854775808       11562877+5025422
F16485+4249   252.52095   42.73985   2     0.134     0.357     3.406     6.168  3  3  3  2       0.00    0.00    0.00    0.00    0.00   11.10   10.47   10.22    0.00    0.00    0.00    0.00    0.00    0.02    0.03    0.04   1        23.10000    1.10000   0.003079   5   0.000000   0.000000   0.013910   0.003079  5  0.00      0.162   0  -19.08    9.88    0.3000  0.7000  0.0000  0.0000    8.92    9.02    6.11    7.61       9.28    2        2.616  -0.69  -0.23   0.53   0.75   0.77   0.78   0.73   0.67   0.32  -0.06  -0.53  -1.31  -1.92  -2.07   1     252.52577  42.72628    1560.92     102.35     125.20      41.87     140.54      49.52     747.62      63.83  67.36579  39.75974  0       0.841   G             NGC 6239                  -9223372036854775808       16500502+4244234
F12246+0732   186.79613    7.26314   4     0.314     0.244     0.251     0.774  1  1  3  2       0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   0         0.00000    0.00000   0.003112   5   0.000000   0.000000   0.000000   0.003112  0  0.00      0.000   0    0.00    0.00    0.8000  0.2000  0.0000  0.0000    8.22    7.36    4.99    6.49       8.28    1        0.000  -1.67  -1.50  -0.60  -0.17  -0.11  -0.08  -0.09  -0.14  -0.46  -0.83  -1.30  -2.07  -2.68  -2.83   1     186.78792   7.27101    1392.36     161.54     157.92      70.08     217.29      95.80     473.29     128.49 285.64548  69.32362  1       0.679   G             UGC 07557                 -9223372036854775808                       
F10422+5613   161.34338   55.96037   1     0.211     0.942     4.949     6.746  3  3  3  2      14.08   13.24   12.88   12.85   12.74   11.65   11.01   10.82    0.00    0.00    0.00    0.00    0.00    0.02    0.04    0.05   1        15.50000    0.90000   0.003149   5   0.010879   0.003611   0.004620   0.003149  5  0.00      0.813   1  -18.58    9.68    0.1000  0.9000  0.0000  0.0000    8.63    9.31    6.29    7.79       9.39    2        0.202  -0.62  -0.02   0.69   0.78   0.78   0.76   0.67   0.58   0.19  -0.21  -0.69  -1.48  -2.09  -2.25   1     161.35464  55.96367    1151.68     109.89     116.03      48.67     291.67      78.35     370.98     103.75 152.29298  53.37724  0       0.427   G      GALAXY NGC 3353                    587732050562056211       10452239+5557373
F03299-3130    52.98173  -31.33763   4     0.130     0.170     0.226     0.888  1  1  3  2       0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   0         0.00000    0.00000   0.003242   5   0.000000   0.000000   0.000000   0.003242  0  0.00      0.000   0    0.00    0.00    1.0000  0.0000  0.0000  0.0000    8.31    5.04    4.98    6.48       8.31    1        0.128  -1.66  -1.62  -0.65  -0.15  -0.09  -0.05  -0.05  -0.10  -0.42  -0.79  -1.25  -2.03  -2.63  -2.79   1      52.99755 -31.32998     849.15      97.03      28.07      53.73      29.48      62.18     429.34      93.10 229.61267 -54.91260  0       0.932   G             ESO 418- G 009            -9223372036854775808                       
F05021-6112    75.67731  -61.14008   2     0.136     0.211     2.052     6.159  3  3  3  2       0.00    0.00    0.00    0.00    0.00   10.70   10.10    9.85    0.00    0.00    0.00    0.00    0.00    0.02    0.03    0.05   1         0.00000    0.00000   0.003381   5   0.007910   0.002587   0.004620   0.003381  5  0.00     -0.015   1  -19.68   10.13    0.8000  0.2000  0.0000  0.0000    9.21    8.34    5.97    7.47       9.26    1        0.664  -0.75  -0.59   0.31   0.74   0.80   0.83   0.82   0.78   0.45   0.08  -0.38  -1.16  -1.77  -1.92   1      75.69044 -61.13994    1634.55      69.94     -80.13      36.61     100.33      41.93     351.90      49.34 270.62000 -36.54837  0       0.380   G             NGC 1796                  -9223372036854775808       05024255-6108242
F12210+0713   185.91121    6.95394   2     0.135     0.398     1.186     4.153  2  1  3  2       0.00    0.00    0.00    0.00    0.00   10.10    9.35    9.06    0.00    0.00    0.00    0.00    0.00    0.02    0.02    0.03   1         3.90000    0.50000   0.003382   5   0.011172   0.004382   0.004620   0.003382  3  0.00      0.064   3  -19.15   10.06    1.0000  0.0000  0.0000  0.0000    9.07    5.80    5.73    7.24       9.07    1        0.259  -0.94  -0.90   0.07   0.57   0.63   0.67   0.67   0.62   0.30  -0.06  -0.53  -1.31  -1.91  -2.07   1     185.90788   6.95484    1950.26     140.71     -59.59      54.82     144.60     101.77     498.04     104.65 283.55182  68.77387  0       0.205   G             NGC 4343                  -9223372036854775808       12233869+0657141
F14040+0616   211.63297    6.02969   1     0.124     0.137     0.448     1.680  1  1  3  2      15.47   13.75   12.93   12.48   12.16   11.02   10.28    9.97    0.02    0.00    0.00    0.00    0.00    0.03    0.03    0.05   1         0.00000    0.00000   0.003422   5   0.000000   0.000000   0.013910   0.003422  3  0.00      0.043   0  -18.26    9.70    1.0000  0.0000  0.0000  0.0000    8.66    5.39    5.32    6.82       8.66    1        0.023  -1.36  -1.33  -0.35   0.14   0.21   0.25   0.24   0.20  -0.12  -0.49  -0.95  -1.73  -2.34  -2.49   1     211.62984   6.01889    1197.31     170.83     185.99      57.43     190.47     154.03      22.91     158.14 346.53220  62.35290  0       0.674   G      GALAXY NGC 5470                    587730021714427909       14063199+0601458
