Name                2 comp b=2         1 comp              1 comp b=2          2 comp              Thick                Best

IRAS00188-0856      1.4775577322775    4.325715855619999   6.67316825605       2.00268840257       1.1116108972425      Thick
IRAS00397-1312      4.47779451106      5.962740385633333   5.347001834757143   2.446905253376667   1.278353710616       Thick
IRAS01003-2238      1.196566246035     0.9207477427166667  0.701430557335      Inf                 1.46262765741        1 comp
IRAS03158+4227      5.458430133283334  7.965705882899999   9.330830142949999   6.46137103475       5.402241930750001    Thick
IRAS03521+0028      7.034713127533333  9.457809659700001   17.79615668522      19.4049377845       6.966748175633334    Thick
IRAS05189-2524*     71.45270383014285  91.1186594255       209.95591907        67.85456115539999   69.29953044414286    2 comp
IRAS06035-7102      7.050830860450001  8.307824876009091   13.82698224091667   3.4857604825625     2.33967575889        Thick
IRAS06206-6315      3.7423313065125    12.21982517344444   21.1933421826       2.099410523883333   1.9001292733875      Thick
IRAS07598+6508      4.800453603455     13.11951189703333   18.3434177682       Inf                 1.464984299545       Thick
IRAS08311-2459      4.593216266666666  12.88709448         14.217592772875     2.670641397325      1.902618765983333    Thick
IRAS08572+3915*     108.14894729225    126.032029192       131.728881141       218.926950806       140.009749069        2 comp b=2
IRAS09022-3615*     178.5157673303333  138.87191724475     112.2662041172      189.252501368       76.45816793033333    Thick
IRAS10378+1109      5.61526131745      12.94556177672857   13.1324773525       0.6791817605375     0.9619452231816666   Thick
IRAS10565+2448*     25.84847633609091  93.01101838666666   150.2382040869231   15.03974288155555   17.09777780545454    2 comp
IRAS11095-0238      4.659858364083333  5.455434474714286   4.9543783919        1.87656447455       2.136778113066667    2 comp
IRAS12071-0444      4.008297822416666  7.033602709742858   7.1854846102125     1.1402052166875     0.7572168430383334   2 comp
IRAS13120-5453*     113.63382432675    400.148956822       822.1414556566666   106.6912548245      34.87699150125       Thick
IRAS13451+1232*     5.723251292316667  23.59251125071429   96.736394538375     3.99057987995       27.52381797633333    2 comp
IRAS14348-1447*     13.91614095833333  35.7689380773       45.79030658763637   2.3552187996        1.148044296433333    Thick
IRAS14378-3651*     13.8846618156      22.8176964115       23.78239913988889   15.036796577        14.0510796422        2 comp b=2
IRAS15250+3609*     4.047562236572727  1.932003113891667   16.41761618115385   1.799362089611111   1.9658216046         2 comp
IRAS15462-0450      4.472089421375     4.721569465266667   4.25129282332       2.55086271355       1.8227960732         Thick
IRAS16090-0139      5.3513011955       11.81948911422222   14.8437759231       1.35636595682       1.20497835560625     Thick
IRAS17208-0014*     3.202163570776471  10.00987919572222   33.870964962        3.36215811404       2.7392847477         Thick
IRAS19254-7245      11.27332606811429  17.804182534375     29.82704847877778   11.6065083689       8.161478365857143    Thick
IRAS19297-0406*     13.90008796563333  18.547212752475     24.0434268162       20.1357168922       9.1267220762         Thick
IRAS20087-0308      8.548540665399999  15.02801107677778   13.5568774453       1.774795092183333   1.10315648847875     Thick
IRAS20100-4156      5.77138863128      9.376267585363637   10.35494195683333   1.7655504970875     1.70143597963        Thick
IRAS20414-1651      2.1417436483       8.619944026657143   15.87125060425      2.586748664775      1.8270981376         Thick
IRAS20551-4250*     40.09799808436364  56.65793447683333   133.0965743084615   41.91902500977778   39.324318342         Thick
IRAS22491-1808*     2.302749301511111  12.0251398208       27.92676789036364   1.440029942514286   1.275416851311111    Thick
IRAS23128-5919*     123.9314896576923  137.4595774864286   139.8746792606667   153.3543811845454   129.8737798569231    2 comp b=2
IRAS23230-6926      4.44455666885      5.533839392427272   5.279945147675      2.753338631725      2.34142681396        Thick
IRAS23253-5415      4.11145600685      7.66485180596       23.50976920666666   4.99853630772       3.815556202725       Thick
IRAS23365+3604*     3.505192594244444  8.97000438403       12.79813408990909   2.123897770985714   1.614873074811111    Thick
Mrk1014*            2.4713085475       5.408566237022223   17.2886069885       3.134141903916667   2.461633571125       Thick
UGC5101*            51.504537968       97.7313623158       270.530402925       77.115227445        46.4509183965        Thick
3C273               40.4093899838      417.4441613316667   569.1403783442858   67.086913841        500.931137968        2 comp b=2
Mrk231              4.334933336205882  5.592697236555555   7.932466773210527   2.4886713647        2.662940692782353    2 comp
Mrk273*             30.40969114375     28.52372311782353   27.03266922666667   33.02173341978571   31.075104742125      1 comp b=2
Mrk463              0.945620706677     1.249763897363636   4.319292935883333   1.12955830466625    1.00138039751        Thick
Arp220*             24.70865358615     28.3940913048       342.816864805       63.268186294        16.631366241775      Thick
NGC6240*            60.52762676593333  32.5937232563125    177.230551997647    39.32311697661539   35.08849805960001    1 comp


