nu_emit     flux_Jy     1sigma_error_Jy
      2.54840322E+12          36.50000093          14.60000075
      2.03872257E+12          26.70000144          10.68000058
      1.79887286E+12          23.50000060           9.39999986
      1.69893548E+12          12.80000052           5.12000002
      1.52904193E+12           9.68999983           3.87600003
      5.09680644E+12          23.90000023           0.20000001
      3.05808386E+12          31.50000080           0.25000001
      3.59774572E+11           0.19843826           0.01774720
