nu_emit     flux_Jy     1sigma_error_Jy
      5.15244283E+12           7.70000000           0.77000000
      3.09146570E+12          12.17000039           1.21700004
      2.57622142E+12          11.10000066           3.33000025
      2.06097713E+12           8.71000026           2.61300022
      1.81850923E+12           6.96999997           2.09100013
      1.54573285E+12           5.36000027           0.17100001
      6.86992378E+11           0.46815173           0.34809066
      3.63701847E+11           0.03385303           0.00776728
