nu_emit     flux_Jy     1sigma_error_Jy
      5.21044270E+12          32.22000204           9.66600061
      3.47362847E+12          31.90000043           9.56999994
      2.60522135E+12          30.00000076           9.00000023
      2.08417708E+12          23.00000058           6.90000027
      1.73681423E+12          17.50000044           5.25000013
      1.56313281E+12          12.50000032           3.75000010
      3.12626562E+12          35.70000167           4.30000030
      6.94725694E+11           1.23504999           0.25202001
      3.67795955E+11           0.17847601           0.01752110
