nu_emit     flux_Jy     1sigma_error_Jy
      5.30487274E+12           5.23999990           0.41920001
      3.18292365E+12           6.28000037           0.56519999
      3.53658183E+12           5.26000036           1.57799999
      2.65243637E+12           4.27000009           1.28100005
      2.12194910E+12           3.06000002           0.91800001
      1.76829091E+12           2.30000001           0.69000002
      1.59146182E+12           1.61000006           0.48300002
      2.44840281E+11           0.01200000           0.00360000
