nu_emit     flux_Jy     1sigma_error_Jy
      3.49957747E+12           1.94000011           0.58200003
      2.62468310E+12           1.60000006           0.48000000
      2.09974648E+12           0.99000003           0.29700000
      1.57480986E+12           0.45000000           0.13500001
      5.24936620E+12           2.18000012           0.19620000
      3.14961972E+12           1.87000005           0.13090000
      4.49945674E+12           1.90000002           0.38000000
      1.96851232E+12           0.89000001           0.17800001
