nu_emit     flux_Jy     1sigma_error_Jy
      5.19735722E+12           9.56999994           0.19000000
      3.11841433E+12          10.80000046           0.35000000
      2.59867861E+12           9.84000040           0.09000001
      2.07894289E+12          11.30000048           4.69999993
      1.83436137E+12           9.00000023           3.80000005
      1.73245241E+12           3.18000015           0.04000000
      1.55920716E+12           2.29000002           0.08000000
      6.92980962E+11           0.26647908           0.19057137
      3.66872274E+11           0.04983823           0.01079100
