nu_emit     flux_Jy     1sigma_error_Jy
      5.39411601E+12           3.88000021           1.16400006
      3.59607734E+12           4.13999997           1.24200002
      2.69705800E+12           3.50000009           1.04999998
      2.15764640E+12           2.30000001           0.69000002
      1.79803867E+12           1.60000006           0.48000000
      1.61823480E+12           1.10000005           0.33000002
      3.23646960E+12           4.26000034           0.38000000
      7.19215467E+11           0.24845121           0.19056957
      3.80761130E+11           0.04307075           0.00654284
