nu_emit     flux_Jy     1sigma_error_Jy
      5.13575972E+12           7.29000015           0.80190005
      3.08145583E+12          12.25000031           1.47000007
      3.62524215E+11           0.00521861           0.00825962
      1.81262108E+12           8.72999976           2.61999995
      3.42383981E+12          11.10999994           3.33300003
      2.56787986E+12          11.60000068           3.48000011
      2.28255987E+12           9.41000009           2.82300003
      1.71191991E+12           6.98000020           2.09400015
      1.54072791E+12           5.11000026           1.53300003
