nu_emit     flux_Jy     1sigma_error_Jy
      3.60660338E+12           7.23000020           2.16899997
      2.70495254E+12           6.66000002           1.99800008
      2.16396203E+12           5.61000028           1.68300001
      1.80330169E+12           3.76000009           1.12800005
      1.62297152E+12           2.69000013           0.80700000
      5.40990507E+12           6.82000034           0.61380000
      3.24594304E+12           7.48999996           0.67410000
      3.81875652E+11           0.03679640           0.00733364
