nu_emit     flux_Jy     1sigma_error_Jy
      3.47424832E+12           9.26000046           2.77800019
      2.60568624E+12           6.73000019           2.01900010
      2.08454899E+12           4.13999997           1.24200002
      1.73712416E+12           2.56000001           0.76800003
      1.56341175E+12           1.80000000           0.54000004
      1.83930794E+12           5.21000017           1.55999998
      5.21137249E+12          12.70000013           1.14390007
      3.12682349E+12          10.58000019           1.05800000
