2    50       1
51   100      1
101   150     1
151   200     1
201   250     1
251   300     1
301   350     1
351   400     1
401   450     1
451   500     1
501   550     1
551   600     1
601   650     1
651   700     1
701   750     1
751   800     1
801   850     1
851   900     1
901   970     1
971   1030    1
1031   1090   1
1091   1150   1
1151   1210   1
1211   1270   1
1271   1330   1
1331   1390   1
1391   1450   1
1451   1510   1
1511   1570   1
1571   1650   1
1651   1750   1
1751   1850   1
1851   1950   1
1951   2100   1
2101   2300   1
2301   2500   1
101    200    2 
201    300    2
301    400    2
401    500    2
501    600    2
601    700    2
701    800    2
801    900    2
901    1000   2
101    200    3 
201    300    3
301    400    3
401    500    3
501    600    3
601    700    3
701    800    3
801    900    3
901    1000   3
