Name                2 comp b=2         1 comp              1 comp b=2          2 comp              Thick                Best

IRAS00188-0856      1.47941163831      4.32573952276       6.673172518133334   1.963687847935      1.110996373115       Thick
IRAS00397-1312      4.48086604218      5.9627205981        5.347002034942856   2.422173000653333   1.278022175578       Thick
IRAS01003-2238      1.130553311615     0.9210361749199999  0.7014254532700001  Inf                 1.425661432415       1 comp
IRAS03158+4227      6.276373526        7.965636981485715   9.330830186649999   6.444343026675      5.402647797316667    Thick
IRAS03521+0028      7.036688812433333  9.45773934935       17.7961552209       19.777925636        6.967936831399999    Thick
IRAS05189-2524      78.08312465971429  91.11958040912501   209.9559228355556   68.2350727896       69.29954194557142    2 comp
IRAS06035-7102      5.90379039713      8.307828508254545   13.82698301025      3.3324686894        2.34529156609        Thick
IRAS06206-6315      3.743502362725     12.219886086        21.1933423923       2.1053332958        1.90070600765        Thick
IRAS07598+6508      4.7981967158       13.11980173583333   18.34341639495      Inf                 1.466267003565       Thick
IRAS08311-2459      4.59845974925      12.88702025065714   14.217590822625     2.6826521268        1.904209285383333    Thick
IRAS08572+3915      128.0920686905     126.0326658396      131.7288792431667   188.0499562905      140.01854080425      1 comp
IRAS09022-3615      169.4733537326667  138.87204440975     112.2662015006      175.434451304       76.45719040133334    Thick
IRAS10378+1109      5.614518472533334  12.945541123        13.132475887375     0.6772808987625     0.9622650585566667   Thick
IRAS10565+2448      52.68696341481818  93.01085614         150.2382041953846   21.77798885755556   17.09687333209091    Thick
IRAS11095-0238      4.661111712966666  5.455392197857143   4.95437948375       1.9173177798275     2.136941479116667    2 comp
IRAS12071-0444      4.011406675216667  7.033626305157143   7.1854789097875     1.132360205175      0.7597525990916667   2 comp
IRAS13120-5453      33.29135127575     400.148453296 822.  1414460266666       151.431338113       34.881884176         2 comp b=2
IRAS13451+1232      5.726338238583334  23.59121495914286   96.736398658        4.001500228525      30.8357313665        2 comp
IRAS14348-1447      9.445109183566666  35.769025313        45.79030715527273   1.18891227648       1.146811712          Thick
IRAS14378-3651      16.93462095471429  22.8175686425       23.78239984077778   21.9731195694       14.05032685342857    Thick
IRAS15250+3609      2.690267899772727  1.9320583285        16.41761730792308   2.374646084188889   2.095784321190909    1 comp
IRAS15462-0450      4.4748122703625    4.721557981277778   4.25129220006       2.551207744583333   1.823785880175       Thick
IRAS16090-0139      5.353528931975     11.819506397        14.8437789443       1.3561146066        1.203584533295       Thick
IRAS17208-0014      3.421976266723529  10.01071676505556   33.87096436215789   3.77544190966       2.743841985658823    Thick
IRAS19254-7245      10.60763833085714  17.803711217        29.82704540277778   11.08445992056      8.159781007685714    Thick
IRAS19297-0406      9.1874796035       18.547587696025     24.0434267672       20.0497885429       9.132119534433334    Thick
IRAS20087-0308      8.549534036524999  15.028111861        13.5568755044       1.588917949481667   1.10392342701375     Thick
IRAS20100-4156      5.76996697489      9.376237904090909   10.35494257583333   1.8783504577625     1.701454742          Thick
IRAS20414-1651      2.141371624533333  8.619960513285715   15.8712514225       2.63403631945       1.82820610975        Thick
IRAS20551-4250      39.51414681027273  56.65785719366666   133.0965754384615   41.99862967688889   39.32388854018182    Thick
IRAS22491-1808      2.433388724088889  12.0250340929       27.92676758363637   1.533445352285714   1.274778357188889    Thick
IRAS23128-5919      138.1848470115385  137.4601751878571   139.874679228       136.1951809618182   129.8741349046154    Thick
IRAS23230-6926      4.44581294421      5.533773580709092   5.279945172691667   2.7670134844625     2.34154075462        Thick
IRAS23253-5415      4.11081260425      7.664976457260001   23.509768583        7.3651634283        3.807320875975       Thick
IRAS23365+3604      3.297544883722222  8.969987879410001   12.79813326790909   2.2748736889        1.613377997944444    Thick
Mrk1014             2.469842159225     5.408620240088889   17.2886053307       3.2544874103        2.4615860177         Thick
UGC5101             112.2231396622     140.6369764986667   477.8696564385714   120.0219831956667   150.9264336326       2 comp b=2
3C273               40.407257666       417.444106365       569.14037868        67.29001468733334   500.931133868        2 comp b=2
Mrk231              3.084165523105883  5.592720697666667   7.932466909526316   2.5245425396        2.662528424452941    2 comp
Mrk273              30.4100996731875   28.52375130035294   27.03266883866667   34.46328436792857   30.5127082399375     1 comp b=2
Mrk463              0.946211468714     1.249606055518182   4.319292669858333   1.21052619096625    1.33291726272        2 comp b=2
Arp220              19.5601205223      65.60848590733333   1030.016890721429   41.390531415        14.03259289994       Thick
NGC6240             35.0272319932      32.59371283125      177.2305516952941   39.06639357538462   36.13527620493333    1 comp


