Name,Redshift,[CII] e-17W/m^2,E[CII],F100_Jy,E100_Jy,F160_Jy,E160_Jy,F157_Jy,E157_Jy,F63_Jy,E63_Jy,F145_Jy,E145_Jy,F52_Jy,E52_Jy,F57_Jy,E57_Jy,F122_Jy,E122_Jy,F79_Jy,E79_Jy,F250_Jy,E250_Jy,F350_Jy,E350_Jy,F500_Jy,E500_Jy,F60_Jy,E60_Jy,F100_Jy,E100_Jy,F850_Jy,E850_Jy,F450_Jy,E450_Jy,F25_Jy,E25_Jy,F120_Jy,E120_Jy,F150_Jy,E150_Jy,F180_Jy,E180_Jy,F200_Jy,E200_Jy,F158_Jy,E158_Jy,F170_Jy,E170_Jy,F63_H_Jy,E63_H_Jy,F88_Jy,E88_Jy,F1300_Jy,E1300_Jy,F2000_Jy,E2000_Jy,Pred870
IRAS10378+1109,0.1362,3.53,0.2,,,,,0.87,0.48,2.46,0.86,1.57,0.38,,,2.2,0.62,1.53,0.11,,,0.4804,0.0038,0.1829,0.0039,0.0501,0.0047,2.281,0.137,1.816,0.163,0.0044,0.0011,,,0.235,0.059,,,,,,,,,,,,,,,,,,,,,0.005511
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS10565+2448,0.043,59.8,1.9,15.7803362199,0.9938842117,10.5564585194,0.5232770213,10.42,0.1,12.11,0.06,8.4,1,,,,,9.3,0.7,,,3.6188,0.0108,1.3189,0.0043,0.4069,0.0049,12.1,0.025,15.01,0.122,0.056,0.01,0.533,0.112,1.27,0.031,,,,,,,,,10.1,1.6,11.5,1.3,14,1.5,23.2,2.2,,,,,0.044759
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS11095-0238,0.1066,7.51,1.18,,,,,1.03,0.59,2.99,1.09,1.37,0.47,3.11,0.79,3.14,0.66,1.5,0.15,,,0.3803,0.0036,0.1185,0.0038,0.0361,0.0053,3.249,0.162,2.531,0.253,,,,,0.418,0.063,,,,,,,,,,,,,,,,,,,,,0.003971
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS12071-0444,0.1284,6.48,0.9,,,,,1.1,0.41,2.45,0.74,1.4,0.4,2.48,0.69,,,1.64,0.11,,,0.4707,0.0038,0.1634,0.0039,0.0443,0.0046,2.463,0.148,2.473,0.247,,,,,0.537,0.059,,,,,,,,,2.4,1.6,,,,,,,,,,,0.004873
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS13120-5453,0.03076,129.1,2.7,54.5110304513,3.5492841155,34.8799107052,1.7280310743,31.62,0.1,42.24,0.11,,,,,,,,,,,12.0971,0.036,4.4409,0.0104,1.3548,0.0055,41.11,0.066,52.33,0.2,,,,,2.98,0.021,,,,,,,,,,,30.52,4.58,,,,,,,,,0.149028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
