  75.96540 -67.33275 278.07092 -35.16328   0.00000   0.00000       0.00       0.00   36017.77    3835.66     894.22     111.89    3370.70     350.84   12937.32    1271.72      32839.43    2748.29    4290.00 0 LMC
  76.09306 -70.73869 282.05984 -34.24117   0.00000   0.00000       0.00       0.00   22886.96    2054.54     589.45      73.09    2277.47     205.57    8651.16     897.38      21286.50    1567.99    2840.00 0 LMC
  76.16167 -70.11953 281.33084 -34.38732   0.00000   0.00000       0.00       0.00   51856.87    4551.30    1139.64      96.50    4991.82     359.94   19336.52    1526.54      42853.27    2998.82    4070.00 0 LMC
  76.20148 -70.91721 282.25543 -34.15771   0.00000   0.00000       0.00       0.00   27784.62    2004.19     709.95      89.21    2583.39     216.62    9186.75     803.09      25043.06    1461.22    2570.00 0 LMC
  76.59339 -70.45695 281.67758 -34.15720   0.00000   0.00000       0.00       0.00   26570.12    1950.94     601.99      75.22    2585.55     210.53   10072.86     737.49      23210.18    1215.48    3450.00 0 LMC
  77.51222 -68.88361 279.73907 -34.23771   0.00000   0.00000       0.00       0.00  139359.89    6533.99    2834.88     137.27   10115.83     583.64   41524.06    2192.43     126672.86    5893.19    5390.00 0 LMC
  78.34135 -69.34949 280.20572 -33.84417   0.00000   0.00000       0.00       0.00  152006.94    8348.09    2902.07     149.07   10849.80     628.57   43473.92    2620.61     123705.20    6813.43    5890.00 0 LMC
  79.38789 -71.24193 282.32162 -33.07623   0.00000   0.00000       0.00       0.00   33197.54    1750.43     885.39      53.65    2912.80     168.58   10672.16     563.65      29135.66    1434.80    2950.00 0 LMC
  79.78284 -69.63957 280.41745 -33.28922   0.00000   0.00000       0.00       0.00   86712.65    5509.97    1742.23      91.67    7064.48     380.65   28512.48    1504.69      77602.49    4262.80    6340.00 0 LMC
  80.48407 -69.68054 280.40845 -33.04218   0.00000   0.00000       0.00       0.00   76556.62    7242.86    1436.59     136.86    5514.31     573.95   23613.04    2429.37      60688.83    3798.05    6860.00 0 LMC
  82.79102 -71.09775 281.89838 -32.02757   0.00000   0.00000       0.00       0.00  154640.89    9279.39    3056.82     165.64   11905.38     739.75   44154.59    3026.40     116577.39    8798.37    4230.00 0 LMC
  83.05978 -66.43422 276.41794 -32.58043   0.00000   0.00000       0.00       0.00   87755.63    4183.01    2033.03      74.05    8036.27     360.28   30309.82    1379.54      76733.70    3736.15    3510.00 0 LMC
  83.86702 -67.58105 277.72565 -32.13951   0.00000   0.00000       0.00       0.00  122094.91   10504.26    3216.87     252.35   11266.01    1106.59   41585.56    4262.12     100596.27    6161.30    5960.00 0 LMC
  84.02008 -69.63880 280.12619 -31.83584   0.00000   0.00000       0.00       0.00   87579.88   11115.86    1539.78     231.08    6173.05    1003.43   26161.23    4245.41      69136.45    6097.27    7610.00 0 LMC
  84.28423 -69.76268 280.25681 -31.72900   0.00000   0.00000       0.00       0.00   77896.55   11448.29    1313.52     287.24    6149.77    1165.44   23520.79    4530.48      67924.24    6030.19    7430.00 0 LMC
  84.69976 -69.07605 279.43503 -31.66651   0.00000   0.00000       0.00       0.00  443658.81   39010.34   17694.59    1263.88   42097.80    3171.37  149781.36   12745.21     369619.62   25343.31    7840.00 0 LMC
  84.97891 -71.15861 281.84561 -31.31873   0.00000   0.00000       0.00       0.00   66146.10    4895.30    1613.56      95.58    6329.04     504.84   23135.29    2004.41      61847.03    3110.77    3870.00 0 LMC
  85.78822 -69.74989 280.17194 -31.21351   0.00000   0.00000       0.00       0.00   59543.83    6388.47    1230.60     106.04    5234.57     474.76   20046.80    2206.59      55316.05    4656.36    6780.00 0 LMC
  88.44294 -68.19705 278.28940 -30.37544   0.00000   0.00000       0.00       0.00   16507.96    2764.56     471.80      71.60    1518.25     301.30    6082.95    1229.29      16883.05    1531.52    2820.00 0 LMC
 152.53897 -12.43523 252.98172  34.36418   0.00000   0.00000       0.00       0.00    3613.64     162.27     154.03      40.59     258.15      63.65    1396.69      91.97       3728.87     164.87     647.00 0 N3145  0.01218
 154.57028  41.42225 178.33875  55.63796   0.00000   0.00000       0.00       0.00   13996.57     474.29     326.68      56.51     842.61      69.37    4230.47      97.06      12665.92     515.84     138.00 0 N3184  0.001975
 154.64919 -17.98274 259.22708  31.62563   0.00000   0.00000       0.00       0.00    3248.95     245.67      73.99      52.50     286.13      67.41    1020.32     127.71       3074.29     137.04     486.00 0 N3200  0.01175
 161.21223   6.59362 241.46729  53.60926   0.00000   0.00000       0.00       0.00    1256.14     169.22      39.23      41.64     205.77      67.15     410.33     104.60       1254.52     117.87     226.00 0 N3662  0.02770
 161.56029   1.81729 247.75557  50.76357   0.00000   0.00000       0.00       0.00    2067.61     131.65      63.09      39.69     307.19      82.45     769.33      98.26       1922.59     105.61     286.00 0 N3365 0.003209
 162.12201  12.53318 233.72499  57.74519   0.00000   0.00000       0.00       0.00    2723.13     134.84     204.75      42.89     192.96      71.72     899.04      84.32       2894.46     117.23     214.00 0 N3889 0.004364
 162.80922   5.83922 244.16585  54.36599   0.00000   0.00000       0.00       0.00    4805.27     147.20     104.03      36.78     381.32      67.11    1641.34      77.70       4782.74     204.11     215.00 0 N3423 0.003372
 162.99434   3.79455 246.97324  53.15705   0.00000   0.00000       0.00       0.00    2196.60     183.55      46.09      48.98      36.77      85.40     357.59      84.39       1995.65     112.76     299.00 0 N3434  0.01213
 163.01399  10.14121 238.33266  57.15876   0.00000   0.00000       0.00       0.00    1920.53     217.22      47.25      44.18     119.86      70.35     645.65     128.69       1954.38     129.28     241.00 0 N3433  0.02907
 165.01056  14.83728 232.64792  61.33504   0.00000   0.00000       0.00       0.00    1995.07     103.70       8.32      49.95    -110.82      73.69     435.96      81.86       2078.30     118.44     181.00 0 N3485  0.004790
 165.18242  17.58725 227.61473  62.75967   0.00000   0.00000       0.00       0.00    1143.11     102.47     102.63      35.28      66.56      56.74     471.31      92.21       1109.71     107.79     201.00 0 N3487  0.02913
 165.69949  17.98847 227.27597  63.37599   0.00000   0.00000       0.00       0.00    2544.83     155.69      20.02      52.55      32.36      67.45     969.19     117.79       2607.93     143.58     172.00 0 N3501  0.003769
 165.79359  11.07352 239.93422  59.92208   0.00000   0.00000       0.00       0.00    1397.93     140.29       3.18      44.09     172.58      61.81     117.23     104.29       1310.87     103.74     246.00 0 N3506  0.02136
 165.85953  18.13475 227.12210  63.57555   0.00000   0.00000       0.00       0.00    3240.31     110.29      58.65      57.77     169.73      87.43    1138.65      90.98       3278.07     129.82     172.00 0 N3507  0.003266
 167.46498  24.26110 214.37549  66.97718   0.00000   0.00000       0.00       0.00    1329.78      81.84      71.74      40.84      28.73      53.12     196.75      91.31       1463.63     108.94     141.00 0 Arp301 0.02059
 167.49425  10.72427 242.54321  61.04425   0.00000   0.00000       0.00       0.00    1513.15     108.86      50.07      65.26     -15.28      78.58     576.17      86.50       1438.91     108.20     256.00 0 N3547  0.005268
 168.76794  14.79126 236.87624  64.41610   0.00000   0.00000       0.00       0.00    4185.19     128.33     155.83      49.50     265.92      66.30    1447.32     105.47       4229.55     198.58     195.00 0 N3596  0.003979
 169.63184  23.46685 217.66570  68.71519   0.00000   0.00000       0.00       0.00     984.86      83.39      40.44      39.87     101.25      67.66     303.87      71.39        990.83     110.33     128.00 0 N3618  0.02271
 169.65514  24.86928 213.88551  69.05177   0.00000   0.00000       0.00       0.00    1219.86      90.50     -22.89      49.03     -42.83      62.68     242.41      56.95       1217.44     104.86     132.00 0 Zwgal  0.02700
 170.00748  18.35985 230.75075  67.22234   0.00000   0.00000       0.00       0.00    1272.59      63.52      47.02      57.19      32.46      55.85     465.21      76.94       1191.25      99.42     135.00 0 N3626  0.004980
 170.13998  26.95991 208.18303  69.79177   0.00000   0.00000       0.00       0.00    1425.69     100.21      93.12      46.43     271.17      74.96     627.21     102.23       1343.22     105.57     127.00 0 N3629  0.005030
 170.24426  21.33170 223.73308  68.61359   0.00000   0.00000       0.00       0.00    1132.60     141.20       1.45      34.18     -45.07      67.33     304.94      95.64       1067.12      98.27     131.00 0 U6363  0.02104
 170.29556  -2.99094 263.55835  52.83978   0.00000   0.00000       0.00       0.00    2809.75     128.10      32.48      67.96     338.18      73.45     937.90      84.49       2575.04     125.84     360.00 0 Zwgal  0.02490
 170.39093  18.45736 230.95140  67.59104   0.00000   0.00000       0.00       0.00    1157.21      89.96      40.25      61.33     138.96      56.92     515.25      63.82       1112.38      98.03     142.00 0 N3639 0.01815
 170.42657  20.16863 226.85210  68.34356   0.00000   0.00000       0.00       0.00    6313.67     135.50     182.51      34.87     438.78      65.75    1928.31      67.95       6331.25     238.31     127.00 0 3646 0.01417
 171.04028  27.01670 208.24371  70.59576   0.00000   0.00000       0.00       0.00     714.62     122.63      -2.64      55.89     -40.95      71.61       5.17      77.59        700.64     106.69     130.00 0 U6415  0.03325
 171.99991  29.51533 200.61487  71.50822   0.00000   0.00000       0.00       0.00     987.97      89.63     -46.34      48.25     173.11      62.37     449.04      84.24       1066.96     103.90     181.00 0 N3687  0.008362
 172.04434  25.66155 212.71193  71.31851   0.00000   0.00000       0.00       0.00    1642.03     121.39     -30.22      47.51      60.55      65.10     287.83      74.06       1824.58     151.27     140.00 0 N3689  0.009136
 172.96965  28.35828 204.30862  72.37363   0.00000   0.00000       0.00       0.00    1438.45      87.44      45.21      37.48     110.86      70.29     332.40      86.96       1439.90     104.70     170.00 0 N3714  0.02330
 173.33688  47.03069 155.37773  64.87705   0.00000   0.00000       0.00       0.00   10539.26     210.62     241.89      36.76     751.55      75.51    3483.22      79.70       9589.06     423.70     164.00 0 N3726  0.002887
 173.40317  25.14270 215.03561  72.43834   0.00000   0.00000       0.00       0.00     963.78      91.30      78.97      45.99      67.81      76.66     292.52      77.10        913.98      99.18     158.00 0 KUG    0.03396
 173.72501  25.53593 213.91133  72.79389   0.00000   0.00000       0.00       0.00    1717.52     133.62     -10.26      51.42     -16.79      79.43     484.43     107.35       1694.91     103.55     158.00 0 Zwgal  0.02345
 174.14900  36.40244 177.96649  71.63558   0.00000   0.00000       0.00       0.00    1262.53      89.58       0.29      47.87      73.21      67.28     433.14      68.74       1263.18     100.14     174.00 0 N3775  0.005237
 174.37314  31.35559 193.82356  73.34790   0.00000   0.00000       0.00       0.00    1121.73     126.75      65.07      59.36     145.04      61.06     492.77      61.45        974.61     103.70     146.00 0 IC2947 0.04248
 174.76891  26.36279 211.52422  73.84064   0.00000   0.00000       0.00       0.00    1778.33     187.09      53.37      38.99     -23.46      57.05     521.27      95.41       1500.74     101.72     143.00 0 N3781  0.02268
 174.92809  31.92003 191.54648  73.70126   0.00000   0.00000       0.00       0.00    2897.58     141.10     -10.88      35.65     338.02      60.10     978.76      95.79       2897.59     159.25     143.00 0 N3786  0.008933
 175.05359  15.33677 244.79335  69.68264   0.00000   0.00000       0.00       0.00    2742.79     130.57     147.99      34.41     241.69      66.17     675.74      90.16       2649.50     129.26     349.00 0 N3800  0.01105
 175.32599  36.54606 176.19398  72.42136   0.00000   0.00000       0.00       0.00    5393.78     143.23     110.93      36.31     334.40      58.40    1642.53      74.90       5555.63     232.16     160.00 0 N3813  0.004888
 176.38156  55.87981 140.86884  58.89368   0.00000   0.00000       0.00       0.00     815.94      84.24     202.70      42.75     200.86      62.34     563.48      79.30        783.53      90.53     133.00 0 N3850  0.003856
 177.01880  30.36334 196.07274  75.75314   0.00000   0.00000       0.00       0.00    1847.06     119.89      24.10      25.69      93.66      55.32     521.23      90.62       1829.60     103.22     150.00 0 N3891  0.02101
 177.25122  35.01825 178.50267  74.50534   0.00000   0.00000       0.00       0.00    1129.72     107.80     -14.64      38.29     106.95      43.06     320.21      70.55       1219.02      99.12     126.00 0 N3897  0.02139
 177.34033  26.12044 213.56676  76.09875   0.00000   0.00000       0.00       0.00    1298.68      93.39      83.95      48.92     -24.88      56.57     627.27      93.40       1151.71      94.99     154.00 0 N3902  0.01201
 177.51608  26.47827 212.15700  76.29817   0.00000   0.00000       0.00       0.00    1432.67      80.51     -18.13      40.12     171.48      59.87     299.54      57.92       1560.39     103.65     150.00 0 N3899  0.005934
 177.95070  38.02415 168.15274  73.40976   0.00000   0.00000       0.00       0.00    1708.31     115.97      37.99      40.39     213.45      54.63     486.31      80.03       1581.36     100.00     154.00 0 N3930  0.003065
 177.99005  23.81829 223.49281  76.18389   0.00000   0.00000       0.00       0.00    1177.35     101.52      23.92      36.57      40.42      65.69     408.10      84.68        972.99      98.75     171.00 0 KUG    0.02209
